trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
67,False,"{'a': 0.01, 'e': 0.7838216658808492}",20,0,-103.49939564953335,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
68,False,"{'a': 0.01, 'e': 0.7775727187509279}",25,0,-94.60541994293469,"{0: 13, 1: 3, 2: 8, 3: 1, 4: 0}",0
69,False,"{'a': 0.01, 'e': 0.7712460149971065}",20,0,-12.156772041919785,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
70,False,"{'a': 0.01, 'e': 0.7648421872844884}",20,0,-200.4823591387981,"{0: 11, 1: 2, 2: 2, 3: 1, 4: 4}",0
71,False,"{'a': 0.01, 'e': 0.7583618759905082}",30,2,-132.17363148194173,"{0: 20, 1: 0, 2: 5, 3: 1, 4: 2}",1
72,False,"{'a': 0.01, 'e': 0.751805729140895}",35,0,-157.8057469054654,"{0: 21, 1: 4, 2: 7, 3: 1, 4: 2}",0
73,False,"{'a': 0.01, 'e': 0.7451744023448704}",20,0,-74.22236781292364,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
74,False,"{'a': 0.01, 'e': 0.7384685587295879}",35,0,-137.49552253910122,"{0: 23, 1: 4, 2: 5, 3: 1, 4: 2}",1
75,False,"{'a': 0.01, 'e': 0.7316888688738209}",25,0,-65.60255708111308,"{0: 14, 1: 5, 2: 6, 3: 0, 4: 0}",0
76,False,"{'a': 0.01, 'e': 0.7248360107409052}",25,0,-126.17256258339275,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
77,False,"{'a': 0.01, 'e': 0.7179106696109434}",25,0,-131.30076190531332,"{0: 17, 1: 3, 2: 2, 3: 0, 4: 3}",0
78,False,"{'a': 0.01, 'e': 0.7109135380122773}",25,0,-121.0724517691574,"{0: 15, 1: 5, 2: 3, 3: 0, 4: 2}",0
79,False,"{'a': 0.01, 'e': 0.7038453156522362}",20,0,-171.73143207352678,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
80,False,"{'a': 0.01, 'e': 0.6967067093471655}",30,10,-31.77550255156662,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",1
81,False,"{'a': 0.01, 'e': 0.6894984329517471}",30,15,-13.939133341967505,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 0}",1
82,False,"{'a': 0.01, 'e': 0.6822212072876136}",25,0,-86.49856178496213,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
83,False,"{'a': 0.01, 'e': 0.6748757600712672}",35,0,-64.11709840920732,"{0: 26, 1: 1, 2: 7, 3: 1, 4: 0}",0
84,False,"{'a': 0.01, 'e': 0.6674628258413082}",20,0,-90.28806877181302,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
85,False,"{'a': 0.01, 'e': 0.6599831458849822}",35,17,-32.943312296339855,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 0}",1
86,False,"{'a': 0.01, 'e': 0.6524374681640519}",30,0,-72.21201858141717,"{0: 19, 1: 9, 2: 1, 3: 0, 4: 1}",0
87,False,"{'a': 0.01, 'e': 0.6448265472400012}",25,0,-83.04117470882795,"{0: 18, 1: 2, 2: 2, 3: 2, 4: 1}",0
88,False,"{'a': 0.01, 'e': 0.6371511441985802}",20,0,-45.661928420253254,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
